student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,ft_pct,fte_value,aid_value,endow_value,grad_100_value,grad_150_value,pell_value,retain_value,ft_fac_value,state_sector_ct,carnegie_ct,counted_pct,cohort_size,num_similar,2_yr_inst,4_yr_inst,private_fp,private,public,hbcu_no,hbcu_yes,flagship_no,flagship_yes,associates_privatefp,associates_pr_sl,associates_pr_sm,associates_pu_multi,bachelors_as,bacelors_df,bachelors_associates,masters_lp,masters_mp,Other_institutions
582,5,17.8,22.5,64000,92268,101725,78.2,433,2379,8677.865366,2,11,75,42,81,16,106,57.64853159,150,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
5068,10,15.9,22.79326963,73406,42194,37780,48.7,4106,3626,8677.865366,4,8,52.2,58,41.4,25,128,51.9,923,20,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2295,20,15.9,22.79326963,30913,42194,37780,67.1,2023,5164,1269,7,32,57.4,59,29.9,25,289,62,597,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
11307,17,18.8,21.5,80461,75743,66436,77.5,2157,6250,11350,14,33,37.4,67,68.6,13,96,46.3,1418,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1292,18,17.8,22.5,108024,92268,101725,93.3,1225,6254.176694,15871,47,56,33.3,75,56.2,16,106,86.5,380,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
161,18,17.8,22.5,94892,92268,101725,80.7,149,5457,10059,8,24,60.9,64,35,16,106,37.8,25,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
863,11,17.8,22.5,128277,92268,101725,93.6,940,7526,19434,16,26,74.3,61,87.9,16,252,72.6,378,20,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
932,13,17.8,22.5,53231.42933,92268,101725,91.1,542,16234,6100,82,82,96.6,32,81.1,16,252,87.4,125,20,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
1351,17,15.9,22.79326963,39149,42194,37780,52.6,1275,3409,8677.865366,19,32,61,49,64.4,25,111,38.5,278,20,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2552,21,18.8,21.5,38447,75743,66436,56,2157,5321,33,13,35,47.6,73,37.4,13,386,32.8,1667,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2584,13,17.8,22.5,53231.42933,92268,101725,95.5,2606,4792,37366,16,43,64.5,72,100,16,343,31.5,796,20,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
3490,16,15.9,22.79326963,44867,42194,37780,51.8,2970,4296,50,6,13,58.4,58,34.6,25,289,57.5,1006,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2552,16,16.3,21.5,88284,103823,66436,46.9,2157,4830,4018,8,27,24.7,70,47.4,3,386,54.7,952,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
7989,16,16.3,21.5,53231.42933,103823,66436,45.7,5545,5315,12346,14,37,23.5,76,69.4,3,96,67.8,523,20,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2645,16,16.3,21.5,70131,103823,66436,31,1544,4688,2108,4,12,18.3,71,47.5,3,106,15.1,49,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
387,22,22.9,22.5,97275,97275,101725,63.3,342,7508,8677.865366,25,40,27.9,66,37.6,1,106,21.8,40,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2191,34,20.95158467,24.6,30416,30416,38763,100,2983,3310,8677.865366,21,21,66,43,21.2,1,124,23.2,128,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
471,5,20.95158467,22.79326963,53231.42933,57636,37780,11.7,263,2930,220,15,19,20.9,40,22.2,2,289,16.6,26,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2761,27,20.95158467,24.6,48603,25661,38763,53.9,2008,4689,8677.865366,15,23,82.6,67,14.1,23,83,62.4,59,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
676,21,20.95158467,24.6,25833,25661,38763,100,573,3736,8677.865366,27,42,72.6,67,53.6,23,517,57.64853159,426,20,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
691,21,20.95158467,22.79326963,38369,21312,24795,90.3,767,4077,8677.865366,10,68,73,71,24,12,81,57.64853159,414,20,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
440,21,20.95158467,22.79326963,23947,21312,24795,99.3,379,3556,8677.865366,4,63,65.1,72,42.1,12,81,57.64853159,481,20,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
209,24,21.7,22.5,44486,35493,101725,100,401,3651,8677.865366,27,42,84.3,65,64.3,4,517,57.64853159,426,20,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
828,18,20.95158467,24.6,71648,25661,38763,100,736,4191,8677.865366,37,42,66.1,44,14.8,23,124,57.64853159,56,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2552,23,22,21.5,79866,75690,66436,90.3,2157,8503,8058,37,59,33.8,84,87.6,4,106,59.4,426,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
8000,20,20.4,22.79326963,28732,25969,37780,35,5538,5138,309,10,17,58,62,31.1,20,128,38.5,954,20,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2552,21,22,21.5,86900,75690,66436,89.7,2157,10381,15972,39,61,32.7,81,76.4,4,106,73.5,426,20,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
216,12,20.95158467,24.6,113274,25661,38763,58.3,277,2616,8677.865366,10,33,53.1,84,56.5,23,114,46.8,30,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
6445,20,20.4,22.79326963,49921,25969,37780,33,4893,3603,847,18,18,46.4,49,21.4,20,99,19.5,514,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
684,27,20.95158467,24.6,48057,25661,38763,100,685,4235,8677.865366,20,20,83.5,67,6.7,23,343,69.3,5,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
4453,22,20.4,22.79326963,11180,25969,37780,37,7909,4089,665,10,18,30.8,56,24.9,20,128,30.5,481,20,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
6602,17,20.4,22.79326963,26448,25969,37780,29.6,3810,4717,8677.865366,13,22,19.8,54,25.7,20,128,43.5,818,20,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1879,20,21.7,22.5,0,35493,101725,93.3,1674,10781,11293,36,59,28.8,82,70.2,4,343,77.9,399,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2552,21,20.4,22.79326963,26032,25969,37780,34.6,2157,3411,8677.865366,5,12,38.1,59,31.4,20,125,32.8,426,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2552,17,20.95158467,24.6,34866,25661,38763,22.7,2157,7117,8677.865366,24,30,52.6,58,11,23,386,8.9,112,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2238,15,20.95158467,24.6,34973,25661,38763,100,3081,4745,8677.865366,32,70,77.9,87,49.4,23,83,57.64853159,34,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
93,24,20.95158467,22.79326963,26096,21312,24795,100,523,3676,8677.865366,0,62,51.5,77,22.2,12,517,57.64853159,253,20,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
6440,23,20.4,22.79326963,27255,25969,37780,20.9,3415,2822,8677.865366,7,13,33.7,55,28,20,125,11.8,240,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2552,22,20.4,22.79326963,25949,25969,37780,31.9,2157,3225,8677.865366,5,12,37.3,56,29.1,20,125,31.6,426,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
409,35,20.95158467,24.6,31167,25661,38763,74.6,468,4364,8677.865366,25,25,73,67,11.1,23,54,64.3,8,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
498,36,20.95158467,24.6,29620,25661,38763,78.7,575,4519,8677.865366,0,6,68,67,11.4,23,54,59.6,16,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
5227,21,20.4,22.79326963,28574,25969,37780,27.4,3309,6417,1135,18,18,47.7,52,20.7,20,99,16.2,254,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1466,10,22,21.5,53231.42933,75690,66436,62.2,1357,4746,3400,27,42,82.2,80,100,4,33,56.1,426,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2552,20,22,21.5,49529,75690,66436,83.8,2157,7224,4163,30,49,37.8,71,61.2,4,96,58.8,426,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3233,8,20.4,22.79326963,59951,25969,37780,20.8,1964,2982,6,5,10,29.4,26,32.2,20,128,6.4,149,20,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2552,22,20.4,22.79326963,28815,25969,37780,27,7001,3349,8677.865366,4,10,47.3,60,21,20,125,16.8,734,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
3099,23,20.95158467,24.6,25979,25661,38763,100,2721,4529,8677.865366,0,15,52.4,46,5.6,23,386,27.7,328,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2552,22,20.4,22.79326963,30402,25969,37780,35.8,2157,3573,240,3,6,32.7,60,27.3,20,125,28.5,426,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1726,24,20.95158467,24.6,14597,25661,38763,100,2357,5577,8677.865366,27,42,49,80,39.4,23,517,57.64853159,426,20,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
930,23,20.95158467,22.79326963,17582,25926,24795,100,1393,5501,8677.865366,26,69,61.8,72,35.4,2,517,57.64853159,960,20,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
545,26,21.7,22.5,48453,35493,101725,81.5,680,11847,1166,23,37,45.5,73,67,4,106,33.2,69,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
621,21,20.95158467,22.79326963,15618,21312,24795,100,842,4183,8677.865366,33,69,64.5,69,90.5,12,517,57.64853159,627,20,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2552,7,20.4,22.79326963,13257,25969,37780,14.2,2157,2470,8677.865366,15,17,25.6,67,2.3,20,125,5,343,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
10313,27,20.4,22.79326963,28959,25969,37780,30.6,6030,3242,8677.865366,6,15,22,57,30.2,20,31,27.1,996,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4718,28,20.4,22.79326963,30571,25969,37780,30.5,2737,3271,8677.865366,9,16,50.5,59,26.3,20,125,16.8,424,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
635,16,21.7,22.5,123061,35493,101725,71.5,526,6254.176694,3657,28,47,32.8,68,20.5,4,343,47.8,57,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2337,38,20.95158467,22.79326963,25952,21312,24795,100,3860,3808,8677.865366,25,65,48.1,70,100,12,517,57.64853159,1467,20,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1497,30,20.95158467,24.6,40401,25661,38763,100,985,5123,8677.865366,12,18,38.6,67,1.8,23,169,32.3,206,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
8197,19,20.4,22.79326963,35443,25969,37780,27.1,4258,5727,2040,11,16,31.4,62,52.6,20,128,22.3,450,20,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
9970,18,19.6,21.5,53575,47347,66436,55.7,7814,6619,7674,7,21,40.3,69,60.9,10,79,41,812,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1027,10,19.4,22.5,85798,82509,101725,84.4,877,9942,8677.865366,4,8,71.1,39,63.6,12,124,100,359,20,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
592,18,19.4,22.5,127686,82509,101725,94.9,559,16486,8677.865366,43,49,46.2,69,70.7,12,252,68.9,143,20,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2552,17,19.6,21.5,67345,47347,66436,88.4,2157,7137,36209,36,60,24.3,82,86.2,10,106,69.1,426,20,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2521,14,19.6,21.5,84603,47347,66436,91.2,2494,7549,681,5,25,69.9,56,81.1,10,343,81.2,786,20,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
4380,26,23.6,22.79326963,18363,25729,37780,50.7,3387,4123,43,24,35,31.6,54,49.2,22,47,61.5,808,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
10098,23,19.6,21.5,27456,47347,66436,75.7,9242,7744,3440,18,35,46.2,73,73.9,10,386,65.1,1655,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
10482,21,19.6,21.5,27356,47347,66436,67.4,8398,6455,2252,20,40,45.6,69,61.6,10,386,70.7,1348,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3706,21,19.6,21.5,39837,47347,66436,66.8,3031,6197,824,10,22,64.7,42,72.7,10,106,69.2,504,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2248,21,23.6,22.79326963,16384,25729,37780,62.8,1906,4429,8677.865366,8,14,64.1,59,51.7,22,289,61,451,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
9754,23,19.6,21.5,50994,47347,66436,84.9,8908,7764,2317,20,41,39.4,69,73.7,10,386,72.9,426,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
827,16,19.4,22.5,53668,82509,101725,78.6,742,7195,3390,18,37,45.3,67,40.3,12,343,54.4,37,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1597,20,23.6,22.79326963,33398,25729,37780,40.8,1011,4695,76,17,22,38.2,59,45.2,22,47,30.2,180,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
200,15,19.4,22.5,68262,82509,101725,71.5,147,7711,8865,27,42,44.3,66,45.8,12,7,86.6,426,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1386,33,23.6,22.79326963,29680,25729,37780,44,919,3845,304,7,12,41.6,45,32,22,111,48.9,234,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3246,22,23.6,22.79326963,38594,25729,37780,47,2237,3905,385,11,19,60.3,48,48.6,22,289,50.4,456,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1353,26,23.6,22.79326963,21678,25729,37780,57.9,1051,5976,8677.865366,10,25,63.3,47,43.8,22,47,57.4,271,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4428,19,19.4,22.5,70304,82509,101725,92.7,4300,9188,18798,40,62,26.3,82,69.6,12,386,80.7,960,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3199,14,19.6,21.5,48972,47347,66436,90,3197,7599,4174,13,28,53,57,67.8,10,169,73.4,784,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1431,20,19.4,22.5,125977,82509,101725,99.4,1438,6254.176694,8677.865366,63,69,17.9,87,66.7,12,252,96.1,365,20,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2080,27,19.4,22.5,56822,82509,101725,75.5,1752,13360,38304,55,65,31.8,82,37.4,12,343,82.2,361,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1793,11,23.6,22.79326963,68945,25729,37780,39.2,1217,4194,1763,2,8,58.2,40,33.1,22,106,30.4,284,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1425,23,23.6,22.79326963,38626,25729,37780,43.4,1149,4417,3180,20,20,50.2,56,75.6,22,289,30.8,333,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2167,26,23.6,22.79326963,25675,25729,37780,49.8,1744,6544,2148,12,23,61.5,50,46.4,22,289,62.1,471,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1543,18,19.4,22.5,97070,82509,101725,97.7,1536,15553,8677.865366,48,60,27,76,71.4,12,252,86.5,372,20,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1501,33,23.6,22.79326963,13646,25729,37780,38.9,923,3546,8677.865366,9,23,37,48,34.6,22,111,55.6,172,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1489,23,23.6,22.79326963,15691,25729,37780,58.6,1251,6773,1182,13,22,70.9,53,42.4,22,111,36.3,305,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
585,14,19.4,22.5,53231.42933,82509,101725,97.6,598,6254.176694,8677.865366,34,48,39.1,69,78.3,12,343,73.6,178,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2149,31,23.6,22.79326963,15557,25729,37780,59.1,1705,3444,19,14,27,67.2,54,63.4,22,47,53.9,537,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
556,17,19.4,22.5,108670,82509,101725,94.1,624,9696,15423,20,45,72.8,54,56.5,12,343,68.2,129,20,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2029,19,23.6,22.79326963,52513,25729,37780,37.3,1151,3898,8677.865366,14,24,39.6,55,67.3,22,47,57.6,204,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
